origin,destination,bike_rf1_duration,bike_rf2_duration,bike_rf3_duration,bike_rf4_duration,bike_rf5_duration,bike_rf6_duration,bike_rf7_duration,bike_rf8_duration,bike_rf9_duration,bike_rf10_origin,bike_rf10_destination,bike_rf10_duration,bike_rf11_origin,bike_rf11_destination,bike_rf11_duration,ebike_th1_duration,bike_vf1_duration
Badi Mythenquai,Bahnhof Enge,314,,,,,,,,,,,,,,,,
Badi Mythenquai,Bellevue,388,,,,,,,,,,,,,,,,
Bahnhof Altstetten,Werdinsel,295,318,,,,,,,,,,,,,,,
Bahnhof Altstetten,Hardturm,263,279,,,,,,,,,,,,,,,
Bahnhof Altstetten,Freilager,382,,,,,,,,,,,,,,,,
Bahnhof Altstetten,Schlieren Bahnhof,615,,,,,,,,,,,,,,,,
Bahnhof Enge,Manesseplatz,,,,,,,,,,,,,,,,,
Bahnhof Enge,Badi Mythenquai,256,,,,,,,,,,,,,,,,
Bahnhof Enge,Bahnhof Wiedikon,370,,,,,,,,,,,,,,,,
Bahnhof Hardbrücke,Hardturm,420,379,366,422,,,,,,,,,,,,,
Bahnhof Hardbrücke,Escher-Wyss-Platz,121,,,,,,,,,,,,,,,,
Bahnhof Hardbrücke,Helvetiaplatz,416,,,,,,,,,,,,,,,,
Bahnhof Hardbrücke,Limmatplatz,254,,,,,,,,,,,,,,,,
Bahnhof Hardbrücke,Lochergut,264,287,264,277,,,,,,,,,,,,,
Bahnhof Oerlikon,ETH Hönggerberg,,,,,,,,,,,,,,,,,
Bahnhof Oerlikon,Bucheggplatz,,,,,,,,,,2020-10-18T17:21:38+02:00,2020-10-18T17:28:51+02:00,433,,,,,
Bahnhof Oerlikon,Zehntenhausplatz,616,,,,,,,,,,,,,,,,
Bahnhof Oerlikon,OPFIKON,,,,,,,,,,2020-10-18T17:00:48+02:00,2020-10-18T17:11:40+02:00,652,,,,,
Bahnhof Tiefenbrunnen,Bellevue,435,474,,,,,,,,2020-10-04T13:41:05+02:00,2020-10-04T13:49:10+02:00,485,,,,,
Bahnhof Tiefenbrunnen,Chinagarten,,,,,,,,,,,,,,,,,
Bahnhof Tiefenbrunnen,KÜSNACHT,,,,,,,,,,2020-10-04T12:37:00+02:00,2020-10-04T12:49:06+02:00,726,,,,,
Bahnhof Wiedikon,Lochergut,,,,,,,,,,,,,,,,,
Bahnhof Wiedikon,Manesseplatz,201,,,,,,,,,,,,,,,,
Bahnhof WIedikon,Helvetiaplatz,161,,,,,,,,,,,,,,,,
Bahnhof Wiedikon,Paradeplatz,297,,,,,,,,,,,,,,,,
Bellevue,Badi Mythenquai,,,,,,,,,,,,,,,,,
Bellevue,ETH Hauptgebäude,415,377,,,,,,,,,,,,,,,
Bellevue,HB Zürich,278,275,,,,,,,,2020-10-04T13:49:18+02:00,2020-10-04T13:54:19+02:00,301,,,,,
Bellevue,Bahnhof Tiefenbrunnen,469,,,,,,,,,2020-10-04T12:29:01+02:00,2020-10-04T12:36:44+02:00,463,,,,,
Bellevue,Chinagarten,369,,,,,,,,,,,,,,,,
Bucheggplatz,Escher-Wyss-Platz,,,,,,,,,,2020-10-18T17:29:30+02:00,2020-10-18T17:33:49+02:00,259,,,,,
Bucheggplatz,Milchbuck,266,259,,,,,,,,,,,,,,,
Bucheggplatz,Bahnhof Oerlikon,,,,,,,,,,2020-10-18T16:51:27+02:00,2020-10-18T16:58:01+02:00,394,,,,,
Bucheggplatz,ETH Hönggerberg,,,,,,,,,,,,,,,,,
Chinagarten,Bahnhof Tiefenbrunnen,293,,,,,,,,,,,,,,,,
Chinagarten,Bellevue,,,,,,,,,,,,,,,,,
Escher-Wyss-Platz,Hardturm,275,270,295,308,248,340,338,277,272,2020-11-02T17:34:05+02:00,2020-11-02T17:38:51+02:00,286,2020-10-04T14:03:38+02:00,2020-10-04T14:08:36+02:00,298,,
Escher-Wyss-Platz,Bucheggplatz,492,,,,,,,,,2020-10-18T16:42:34+02:00,2020-10-18T16:51:04+02:00,510,,,,,
Escher-Wyss-Platz,Schaffhauserplatz,509,,,,,,,,,,,,,,,,
Escher-Wyss-Platz,Milchbuck,709,,,,,,,,,,,,,,,,
Escher-Wyss-Platz,Limmatplatz,213,179,217,189,,,,,,,,,,,,,
Escher-Wyss-Platz,Bahnhof Hardbrücke,238,,,,,,,,,,,,,,,,125
ETH Hauptgebäude,Bellevue,210,,,,,,,,,,,,,,,,
