Monat,Passagiere total,+/- zum Monat          im  Vorjahr,+/- % zum Monat      im Vorjahr,% Vergleich zur Vorjahresperiode,Total minus Lokal-+Umsteigepassagiere,Tourismus Ankünfte CH     ,Einwohner Passagiere   (sofern 2/3 via ZRH ankommen) ,Einwohner Passagiere %,+/- zum Monat im Vorjahr,+/- % zum Monat im Vorjahr,Lokalpassagiere,Lokal %,,+/- zum Monat          im  Vorjahr (Lokalpassagiere),,+/- % zum Monat      im Vorjahr       (Lokalpassagiere),% Vergleich zur Vorjahresperiode,Umsteige- Passagiere, Umsteige- Passagiere %,Flugbewegungen,Auslastung    Passagiere/Flugbewegungen,Fracht (Tonnen)
Juni 2020,"201,692","-2,687,944",-93,-97,"3,983",,,,,,"160,697",80,,"-1,889,820",,-92.16,-96.50,"37,012",18.35,"5,048",40,"19,911"
Mai 2020,"43,852","-2,673,242",-98,-99,"1,640",,,,,,"36,902",84,,"-1,912,569",,-98.11,-96.57,"5,310",12.11,"3,062",14,"18,903"
April 2020,"26,913","-2,700,286",-99,-100,"3,235",,,,,,"20,866",78,,"-1,931,113",,-98.93,-98.35,"2,812",10.45,"1,921",14,"12,177"
März 2020,"890,134","-1,531,610",-63,-64,"2,825",,,,,,"656,399",74,,"-1,009,952",,-60.61,-60.57,"230,910",25.94,"11,135",80,"25,491"
Februar 2020,"2,010,199","-23,654",-1,-5,"4,616",,,,,,"1,435,073",71,,"-6,693",,-0.46,-2.76,"570,510",28.38,"18,656",108,"18,656"
Januar 2020 (mit WEF),"2,148,812","14,204",1,-5,"6,363",,,,,,"1,474,997",69,,"10,972",,0.75,-1.83,"667,452",31.06,"20,594",104,"33,346"
December 2019,"2,332,820","27,801",1,-5,"4,514",,,,,,"1,621,144",69,"22,231,195","11,869",,0.74,-4.84,"707,162",30.31,"20,193",116,"38,461"
November 2019,"2,229,902","14,993",1,-5,"5,792",,,,,,"1,520,476",68,"23,059","-23,611",,-1.53,-7.55,"703,634",31.55,"19,828",112,"39,166"
October 2019,"2,869,687","-34,563",-1,-6,"4,635",,,,,,"2,092,240",73,,"-57,921",,-2.69,-7.43,"772,812",26.93,"24,054",119,"38,621"
September 2019,"2,889,060","8,171",0,-5,"5,312",,,,,,"2,059,246",71,,"-5,346",,-0.26,-4.12,"824,502",28.54,"24,369",119,"36,410"
August 2019,"3,112,270","12,450",0,-5,"5,120",,,,,,"2,159,588",69,,"-11,494",,-0.53,-5.47,"947,562",30.45,"25,256",123,"35,459"
Juli 2019,"3,149,819","19,855",1,-4,"6,079",2278306,,,55931,2.52,"2,254,392",72,,"-2,314",,-0.10,-3.55,"889,348",28.23,"25,757",122,"37,707"
Juni 2019,"2,889,636","99,457",4,-3,"6,713",2003127,,,61025,3.14,"2,050,517",71,,"85,263","71,511",4.34,0.70,"832,406",28.81,"24,717",117,"36,694"
Mai 2019,"2,717,094","7,057",0,-8,"5,181",1620279,868745,45,57433,3.67,"1,949,471",72,,"-30,528","197,044",-1.54,-11.48,"762,442",28.06,"24,441",111,"38,063"
April 2019,"2,727,199","23,631",1,-6,"4,636",1371252,1037354,53,50730,3.84,"1,951,979",72,,"-11,412","119,432",-0.58,-6.65,"770,584",28.26,"23,265",117,"37,508"
März 2019,"2,421,744","29,048",1,-8,"5,265",1523571,650129,39,2378,0.16,"1,666,351",69,,-741,"178,396",-0.04,-9.67,"750,128",30.97,"22,071",110,"42,231"
Februar 2019,"2,033,853","67,491",3,-1,"5,037",1326512,556982,39,14254,1.09,"1,441,766",71,,"32,414","85,968",2.30,-3.80,"587,050",28.86,"19,697",103,"36,404"
Januar 2019 (mit WEF),"2,134,608","117,771",6,3,"8,231",1222341,648724,44,-19735,-1.59,"1,464,025",69,,"36,880","75,047",2.58,-2.67,"662,352",31.03,"21,680",98,"35,104"
Dezember 2018,"2,305,019","132,728",6,3,"4,764",1314872,732255,46,20430,1.58,"1,609,275",70,"22,208,136","84,996",,5.58,1.60,"690,980",29.98,"21,260",108,"41,193"
November 2018,"2,214,909","126,272",6,3,"4,460",1121830,795826,52,43467,4.03,"1,544,087",70,"1,183,219","87,618",,6.02,0.79,"666,362",30.09,"21,070",105,"42,251"
Oktober 2018,"2,904,250","145,970",5,2,"5,371",1573845,1100406,51,16658,1.07,"2,150,161",74,,"97,233",,4.74,2.01,"748,718",25.78,"25,085",116,"43,488"
September 2018,"2,880,889","133,427",5,-1,"5,761",1964484,754281,37,86272,4.59,"2,064,592",72,,"76,827",,3.86,-4.45,"810,536",28.13,"24,847",116,"40,898"
August 2018,"3,099,820","160,291",5,1,"5,606",2254680,667210,31,135905,6.41,"2,171,082",70,,"102,221",,4.94,-0.20,"923,132",29.78,"25,717",121,"39,393"
Juli 2018,"3,129,964","146,382",5,0,"6,598",2222375,774382,34,77125,3.60,"2,256,706",72,,"75,335",,3.45,-0.62,"866,660",27.69,"25,871",121,"41,669"
Juni 2018,"2,790,179","160,709",6,-5,"6,631",1942102,669872,34,112418,6.14,"1,965,254",70,,"69,010",,3.64,-5.90,"818,294",29.33,"24,677",113,"41,225"
Mai 2018,"2,710,037","209,288",8,5,"5,258",1562846,937581,47,49153,3.25,"1,979,999",73,,"179,048",,9.94,11.14,"724,780",26.74,"24,463",111,"40,779"
April 2018,"2,703,568","166,267",7,-9,"5,501",1320522,1082603,55,16013,1.23,"1,963,391",73,,"112,296",,6.07,-7.24,"734,676",27.17,"23,503",115,"40,971"
März 2018,"2,392,696","197,113",9,3,"6,202",1521193,652456,39,108759,7.70,"1,667,092",70,,"146,492",,9.63,5.27,"719,402",30.07,"22,079",108,"44,243"
Februar 2018,"1,966,362","87,164",5,-2,"4,276",1312258,534076,38,63074,5.05,"1,409,352",72,,"80,972",,6.10,6.10,"552,734",28.11,"18,834",104,"39,279"
Januar 2018 (mit WEF),"2,016,837","52,816",3,-6,"9,214",1242076,598680,42,61748,5.23,"1,427,145",71,,"71,171",,5.25,5.25,"580,478",28.78,"21,052",96,"37,833"
Dezember 2017,"2,172,291","69,869",3,,"6,468",1294442,660886,43,100339,8.40,"1,524,279",70,"21,024,917","58,374",,3.98,,"641,544",29.53,"20,099",108,"43,493"
November 2017,"2,088,637","69,482",3,,"6,072",1078363,737201,51,57484,5.63,"1,456,469",70,"1,084,842","72,438",,5.23,,"626,096",29.98,"20,303",103,"44,586"
Oktober 2017,"2,758,280","95,835",4,,"5,552",1557187,1014284,49,119333,8.30,"2,052,928",74,,"54,578",,2.73,,"699,800",25.37,"24,236",114,"45,683"
September 2017,"2,747,462","142,942",5,,"5,983",1878212,734998,37,105527,5.95,"1,987,765",72,,"152,515",,8.31,,"753,714",27.43,"24,392",113,"41,906"
August 2017,"2,939,529","137,136",5,,"5,060",2118775,655638,32,92607,4.57,"2,068,861",70,,"101,133",,5.14,,"865,608",29.45,"24,917",118,"40,641"
Juli 2017,"2,983,582","127,487",4,,"5,379",2145250,750489,34,89789,4.37,"2,181,371",73,,"85,378",,4.07,,"796,832",26.71,"25,103",119,"42,227"
Juni 2017,"2,629,470","252,798",11,,"5,768",1829684,675845,36,192575,11.76,"1,896,244",72,,"165,080",,9.54,,"727,458",27.67,"24,012",110,"40,418"
Mai 2017,"2,500,749","92,035",4,,"4,860",1513693,791318,44,77930,5.43,"1,800,951",72,,"-21,794",,-1.20,,"694,938",27.79,"24,012",104,"39,012"
April 2017,"2,537,301","333,996",15,,"4,324",1304509,980987,53,130530,11.12,"1,851,095",73,,"217,463",,13.31,,"681,882",26.87,"22,354",114,"38,097"
März 2017,"2,195,583","131,362",6,,"5,595",1412434,578507,38,41852,3.05,"1,520,600",69,,"63,563",,4.36,,"669,388",30.49,"21,693",101,"43,372"
Februar 2017,"1,879,198","119,714",7,,"5,332",1249184,495174,37,5596,0.45,"1,328,380",71,,,,,,"545,486",29.03,"18,736",100,"36,130"
Januar 2017,"1,964,021","157,201",9,,"7,211",1180328,568695,42,70567,6.36,"1,355,974",69,,,,,,"600,836",30.59,"20,594",95,"34,887"
Dezember 2016,"2,102,422",,,,"4,871",1194103,669438,46,,,"1,465,905",70,"19,940,075",,,,,"631,646",30.04,"20,428",103,"40,383"
November 2016,"2,019,155",,,,"4,080",1020879,703105,51,,,"1,384,031",69,,,,,,"631,044",31.25,"20,155",100,"38,627"
Oktober 2016,"2,662,445",,,,"5,123",1437854,1039301,52,,,"1,998,350",75,,,,,,"658,972",24.75,"23,809",112,"39,587"
September 2016,"2,604,520",,,,"5,326",1772685,652869,36,,,"1,835,250",70,,,,,,"763,944",29.33,"24,511",106,"37,493"
August 2016,"2,802,393",,,,"5,507",2026168,616274,31,,,"1,967,728",70,,,,,,"829,158",29.59,"25,260",111,"35,302"
