Month,2016,2017,2018,2019,2020
Jan.,1264655,1355974,1427145,1464025,1474997
Feb.,1283585,1328380,1409352,1441766,1435073
März,1457037,1520600,1667092,1666351,656399
Apr.,1633632,1851095,1963391,1951979,20866
Mai,1822745,1800951,1979999,1949471,36902
Juni,1731164,1896244,1965254,2050517,160697
Juli,2095993,2181371,2256706,2254392,
Aug.,1967728,2068861,2171082,2159588,
Sept.,1835250,1987765,2064592,2059246,
Okt.,1998350,2052928,2150161,2092240,
Nov.,1384031,1456469,1544087,1520476,
Dez.,1465905,1524279,1609275,1621144,
